input,output,word_count,query_type,difficulty
top 5 scorers in 2023,"SELECT p.player_name, ps.pts FROM player p JOIN player_season ps ON p.player_id = ps.player_id WHERE ps.season_id = 22022 ORDER BY ps.pts DESC LIMIT 5;",5,comparison,medium
top 10 scorers in 2022,"SELECT p.player_name, ps.pts FROM player p JOIN player_season ps ON p.player_id = ps.player_id WHERE ps.season_id = 22021 ORDER BY ps.pts DESC LIMIT 10;",5,comparison,medium
top 5 rebounders in 2021,"SELECT p.player_name, ps.reb FROM player p JOIN player_season ps ON p.player_id = ps.player_id WHERE ps.season_id = 22020 ORDER BY ps.reb DESC LIMIT 5;",5,ranking,medium
top 10 rebounders in 2020,"SELECT p.player_name, ps.reb FROM player p JOIN player_season ps ON p.player_id = ps.player_id WHERE ps.season_id = 22019 ORDER BY ps.reb DESC LIMIT 10;",5,ranking,medium
top 5 assist leaders in 2019,"SELECT p.player_name, ps.ast FROM player p JOIN player_season ps ON p.player_id = ps.player_id WHERE ps.season_id = 22018 ORDER BY ps.ast DESC LIMIT 5;",6,ranking,medium
top 3 players by steals in 2018,"SELECT p.player_name, pg.stl FROM player p JOIN player_general_traditional_total pg ON p.player_id = pg.player_id WHERE pg.season_id = 22017 ORDER BY pg.stl DESC LIMIT 3;",7,ranking,medium
top 5 shot blockers in 2017,"SELECT p.player_name, pg.blk FROM player p JOIN player_general_traditional_total pg ON p.player_id = pg.player_id WHERE pg.season_id = 22016 ORDER BY pg.blk DESC LIMIT 5;",6,ranking,medium
top 10 players by total points in 2016,"SELECT p.player_name, pg.pts FROM player p JOIN player_general_traditional_total pg ON p.player_id = pg.player_id WHERE pg.season_id = 22015 ORDER BY pg.pts DESC LIMIT 10;",8,ranking,medium
top 5 players by field goal percentage in 2015,"SELECT p.player_name, pg.fg_pct FROM player p JOIN player_general_traditional_total pg ON p.player_id = pg.player_id WHERE pg.season_id = 22014 AND pg.fga >= 100 ORDER BY pg.fg_pct DESC LIMIT 5;",9,ranking,medium
top 5 three point shooters in 2014,"SELECT p.player_name, pg.fg3_pct FROM player p JOIN player_general_traditional_total pg ON p.player_id = pg.player_id WHERE pg.season_id = 22013 AND pg.fg3a >= 50 ORDER BY pg.fg3_pct DESC LIMIT 5;",7,ranking,medium
top 5 players by free throw percentage in 2013,"SELECT p.player_name, pg.ft_pct FROM player p JOIN player_general_traditional_total pg ON p.player_id = pg.player_id WHERE pg.season_id = 22012 AND pg.fta >= 50 ORDER BY pg.ft_pct DESC LIMIT 5;",9,ranking,medium
top 10 players by plus minus in 2012,"SELECT p.player_name, pg.plus_minus FROM player p JOIN player_general_traditional_total pg ON p.player_id = pg.player_id WHERE pg.season_id = 22011 ORDER BY pg.plus_minus DESC LIMIT 10;",8,ranking,medium
top 5 players by minutes played in 2011,"SELECT p.player_name, pg.min FROM player p JOIN player_general_traditional_total pg ON p.player_id = pg.player_id WHERE pg.season_id = 22010 ORDER BY pg.min DESC LIMIT 5;",8,ranking,medium
top 5 players by offensive rebounds in 2010,"SELECT p.player_name, pg.oreb FROM player p JOIN player_general_traditional_total pg ON p.player_id = pg.player_id WHERE pg.season_id = 22009 ORDER BY pg.oreb DESC LIMIT 5;",8,ranking,medium
top 5 players by defensive rebounds in 2009,"SELECT p.player_name, pg.dreb FROM player p JOIN player_general_traditional_total pg ON p.player_id = pg.player_id WHERE pg.season_id = 22008 ORDER BY pg.dreb DESC LIMIT 5;",8,ranking,medium
